C:\Users\JayphoneLin\anaconda3\envs\pytorch_study\python.exe C:/Users/JayphoneLin/Desktop/GAN-INTRO/GAN-Generate-fake-MNIST.py
Epoch [0/200], Step [200/600], d_loss: 0.0653, g_loss: 3.5973, D(x): 0.99, D(G(z)): 0.06
Epoch [0/200], Step [400/600], d_loss: 0.1048, g_loss: 5.2281, D(x): 0.97, D(G(z)): 0.07
Epoch [0/200], Step [600/600], d_loss: 0.1113, g_loss: 4.5148, D(x): 0.96, D(G(z)): 0.06
Epoch [1/200], Step [200/600], d_loss: 0.0424, g_loss: 5.2776, D(x): 0.99, D(G(z)): 0.03
Epoch [1/200], Step [400/600], d_loss: 1.8064, g_loss: 2.5140, D(x): 0.63, D(G(z)): 0.51
Epoch [1/200], Step [600/600], d_loss: 0.2390, g_loss: 3.7983, D(x): 0.93, D(G(z)): 0.11
Epoch [2/200], Step [200/600], d_loss: 0.3900, g_loss: 2.3959, D(x): 0.92, D(G(z)): 0.22
Epoch [2/200], Step [400/600], d_loss: 0.6316, g_loss: 2.4706, D(x): 0.85, D(G(z)): 0.27
Epoch [2/200], Step [600/600], d_loss: 0.3760, g_loss: 3.9796, D(x): 0.94, D(G(z)): 0.23
Epoch [3/200], Step [200/600], d_loss: 0.5299, g_loss: 3.4926, D(x): 0.85, D(G(z)): 0.23
Epoch [3/200], Step [400/600], d_loss: 0.5927, g_loss: 2.6309, D(x): 0.82, D(G(z)): 0.23
Epoch [3/200], Step [600/600], d_loss: 0.4081, g_loss: 2.4364, D(x): 0.85, D(G(z)): 0.12
Epoch [4/200], Step [200/600], d_loss: 0.6581, g_loss: 2.5001, D(x): 0.83, D(G(z)): 0.22
Epoch [4/200], Step [400/600], d_loss: 0.7878, g_loss: 3.0153, D(x): 0.75, D(G(z)): 0.21
Epoch [4/200], Step [600/600], d_loss: 0.4223, g_loss: 3.5798, D(x): 0.87, D(G(z)): 0.16
Epoch [5/200], Step [200/600], d_loss: 0.2908, g_loss: 2.4881, D(x): 0.91, D(G(z)): 0.15
Epoch [5/200], Step [400/600], d_loss: 0.5142, g_loss: 2.4011, D(x): 0.86, D(G(z)): 0.19
Epoch [5/200], Step [600/600], d_loss: 0.3967, g_loss: 2.0492, D(x): 0.89, D(G(z)): 0.18
Epoch [6/200], Step [200/600], d_loss: 0.1902, g_loss: 3.0014, D(x): 0.94, D(G(z)): 0.11
Epoch [6/200], Step [400/600], d_loss: 0.6933, g_loss: 2.3900, D(x): 0.83, D(G(z)): 0.27
Epoch [6/200], Step [600/600], d_loss: 0.1083, g_loss: 3.4666, D(x): 0.96, D(G(z)): 0.05
Epoch [7/200], Step [200/600], d_loss: 0.4046, g_loss: 3.0811, D(x): 0.88, D(G(z)): 0.07
Epoch [7/200], Step [400/600], d_loss: 0.2773, g_loss: 4.2656, D(x): 0.89, D(G(z)): 0.02
Epoch [7/200], Step [600/600], d_loss: 0.3465, g_loss: 2.9916, D(x): 0.89, D(G(z)): 0.12
Epoch [8/200], Step [200/600], d_loss: 0.5233, g_loss: 1.8373, D(x): 0.86, D(G(z)): 0.11
Epoch [8/200], Step [400/600], d_loss: 0.6570, g_loss: 2.2624, D(x): 0.83, D(G(z)): 0.17
Epoch [8/200], Step [600/600], d_loss: 0.2157, g_loss: 3.7056, D(x): 0.94, D(G(z)): 0.07
Epoch [9/200], Step [200/600], d_loss: 0.2195, g_loss: 4.3856, D(x): 0.92, D(G(z)): 0.06
Epoch [9/200], Step [400/600], d_loss: 0.1555, g_loss: 4.3130, D(x): 0.96, D(G(z)): 0.06
Epoch [9/200], Step [600/600], d_loss: 0.2020, g_loss: 3.6389, D(x): 0.93, D(G(z)): 0.06
Epoch [10/200], Step [200/600], d_loss: 0.1179, g_loss: 3.3362, D(x): 0.96, D(G(z)): 0.05
Epoch [10/200], Step [400/600], d_loss: 0.1272, g_loss: 5.6668, D(x): 0.96, D(G(z)): 0.04
Epoch [10/200], Step [600/600], d_loss: 0.3641, g_loss: 4.2438, D(x): 0.88, D(G(z)): 0.07
Epoch [11/200], Step [200/600], d_loss: 0.1646, g_loss: 6.2592, D(x): 0.93, D(G(z)): 0.04
Epoch [11/200], Step [400/600], d_loss: 0.1128, g_loss: 6.1114, D(x): 0.96, D(G(z)): 0.03
Epoch [11/200], Step [600/600], d_loss: 0.2090, g_loss: 4.7408, D(x): 0.98, D(G(z)): 0.14
Epoch [12/200], Step [200/600], d_loss: 0.2472, g_loss: 4.7426, D(x): 0.97, D(G(z)): 0.13
Epoch [12/200], Step [400/600], d_loss: 0.1825, g_loss: 5.5436, D(x): 0.95, D(G(z)): 0.07
Epoch [12/200], Step [600/600], d_loss: 0.1082, g_loss: 5.6493, D(x): 0.97, D(G(z)): 0.03
Epoch [13/200], Step [200/600], d_loss: 0.0776, g_loss: 4.3723, D(x): 0.96, D(G(z)): 0.02
Epoch [13/200], Step [400/600], d_loss: 0.0528, g_loss: 4.5324, D(x): 0.98, D(G(z)): 0.02
Epoch [13/200], Step [600/600], d_loss: 0.1798, g_loss: 6.0357, D(x): 0.97, D(G(z)): 0.11
Epoch [14/200], Step [200/600], d_loss: 0.3538, g_loss: 11.0150, D(x): 0.89, D(G(z)): 0.01
Epoch [14/200], Step [400/600], d_loss: 0.1290, g_loss: 5.9769, D(x): 0.96, D(G(z)): 0.03
Epoch [14/200], Step [600/600], d_loss: 0.3065, g_loss: 4.4133, D(x): 0.92, D(G(z)): 0.05
Epoch [15/200], Step [200/600], d_loss: 0.1549, g_loss: 4.8918, D(x): 0.94, D(G(z)): 0.04
Epoch [15/200], Step [400/600], d_loss: 0.0716, g_loss: 5.5398, D(x): 0.98, D(G(z)): 0.04
Epoch [15/200], Step [600/600], d_loss: 0.1687, g_loss: 4.9015, D(x): 0.96, D(G(z)): 0.04
Epoch [16/200], Step [200/600], d_loss: 0.3938, g_loss: 3.4609, D(x): 0.90, D(G(z)): 0.10
Epoch [16/200], Step [400/600], d_loss: 0.2612, g_loss: 5.6778, D(x): 0.94, D(G(z)): 0.03
Epoch [16/200], Step [600/600], d_loss: 0.1788, g_loss: 4.6886, D(x): 0.95, D(G(z)): 0.04
Epoch [17/200], Step [200/600], d_loss: 0.7374, g_loss: 3.7953, D(x): 0.87, D(G(z)): 0.11
Epoch [17/200], Step [400/600], d_loss: 0.3920, g_loss: 4.4698, D(x): 0.91, D(G(z)): 0.15
Epoch [17/200], Step [600/600], d_loss: 0.3630, g_loss: 3.1543, D(x): 0.98, D(G(z)): 0.20
Epoch [18/200], Step [200/600], d_loss: 0.2662, g_loss: 5.1191, D(x): 0.93, D(G(z)): 0.05
Epoch [18/200], Step [400/600], d_loss: 0.2535, g_loss: 2.8401, D(x): 0.92, D(G(z)): 0.05
Epoch [18/200], Step [600/600], d_loss: 0.1724, g_loss: 4.4248, D(x): 0.95, D(G(z)): 0.08
Epoch [19/200], Step [200/600], d_loss: 0.2435, g_loss: 5.0730, D(x): 0.90, D(G(z)): 0.04
Epoch [19/200], Step [400/600], d_loss: 0.4391, g_loss: 4.4922, D(x): 0.83, D(G(z)): 0.01
Epoch [19/200], Step [600/600], d_loss: 0.2512, g_loss: 3.8666, D(x): 0.96, D(G(z)): 0.09
Epoch [20/200], Step [200/600], d_loss: 0.2370, g_loss: 4.9324, D(x): 0.92, D(G(z)): 0.05
Epoch [20/200], Step [400/600], d_loss: 0.1242, g_loss: 4.9555, D(x): 0.94, D(G(z)): 0.02
Epoch [20/200], Step [600/600], d_loss: 0.2336, g_loss: 4.8891, D(x): 0.95, D(G(z)): 0.10
Epoch [21/200], Step [200/600], d_loss: 0.1429, g_loss: 4.6396, D(x): 0.96, D(G(z)): 0.06
Epoch [21/200], Step [400/600], d_loss: 0.3047, g_loss: 4.9432, D(x): 0.91, D(G(z)): 0.08
Epoch [21/200], Step [600/600], d_loss: 0.1739, g_loss: 3.6372, D(x): 0.96, D(G(z)): 0.08
Epoch [22/200], Step [200/600], d_loss: 0.2272, g_loss: 4.1138, D(x): 0.95, D(G(z)): 0.09
Epoch [22/200], Step [400/600], d_loss: 0.2146, g_loss: 3.3508, D(x): 0.93, D(G(z)): 0.06
Epoch [22/200], Step [600/600], d_loss: 0.1910, g_loss: 4.6502, D(x): 0.94, D(G(z)): 0.07
